url,option1,option2,option3,option4,correct_answer,author
https://assets.zeriahlabs.com/whosthatdinosaur/Allosaurus.png,Tyrannosaurus,Carnotaurus,Spinosaurus,Allosaurus,Allosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Tyrannosaurus.png,Iguanodon,Allosaurus,Tyrannosaurus,Spinosaurus,Tyrannosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Spinosaurus.png,Allosaurus,Spinosaurus,Carnotaurus,Tyrannosaurus,Spinosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Carnotaurus.png,Carnotaurus,Velociraptor,Iguanodon,Velociraptor,Carnotaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Baryonyx.png,Archaeopteryx,Compsognathus,Velociraptor,Baryonyx,Baryonyx,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Archaeopteryx.png,Allosaurus,Carnotaurus,Archaeopteryx,Tyrannosaurus,Archaeopteryx,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Compsognathus.png,Velociraptor,Compsognathus,Tyrannosaurus,Archaeopteryx,Compsognathus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Velociraptor.png,Velociraptor,Carnotaurus,Compsognathus,Allosaurus,Velociraptor,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Diplodocus.png,Brontosaurus,Brachiosaurus,Triceratops,Diplodocus,Diplodocus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Brachiosaurus.png,Ankylosaurus,Diplodocus,Brachiosaurus,Brontosaurus,Brachiosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Brontosaurus.png,Diplodocus,Brontosaurus,Parasaurolophus,Brachiosaurus,Brontosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Pachycephalosaurus.png,Pachycephalosaurus,Parasaurolophus,Allosaurus,Spinosaurus,Pachycephalosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Parasaurolophus.png,Baryonyx,Velociraptor,Pachycephalosaurus,Parasaurolophus,Parasaurolophus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Ankylosaurus.png,Parasaurolophus,Stegosaurus,Ankylosaurus,Triceratops,Ankylosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Triceratops.png,Brachiosaurus,Triceratops,Pachycephalosaurus,Stegosaurus,Triceratops,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Stegosaurus.png,Stegosaurus,Baryonyx,Triceratops,Spinosaurus,Stegosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Iguanodon.png,Compsognathus,Archaeopteryx,Carnotaurus,Iguanodon,Iguanodon,TotalDino
